Worker ID,Finished,Begin,,End,,Step 1,Step 2,,,,,,,,,Step 3,,,,,,,,,,,,,,,,,Step 4,Step 5,,,Step 6,,,Step 7,,,Step 8,,,Step 9,Step 10,,,Step 11,,,Step 12,,,Step 13,,,Step 14,,,Step 15,,,Step 16,,,Step 17,,,Step 18,,,Step 19,,,Step 20,,,Step 21,,,Step 22,,,Step 23,,,Step 24,,,Step 25,,,Step 26,,,Step 27,,,Step Order
,,Date,Time,Date,Time,Duration,Duration,Results,,,,,,,,Duration,Results,,,,,,,,,,,,,,,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,
 
A0017268R9SKD8U2Y3F,Yes,02.07.2018,08:28:58,02.07.2018,08:33:52,2,7,Female,1,25-34 years old,4,America,1,Other field,10,21,Paid streaming video services,2,Extremely often,1,No difference,3,Afternoon,2,more than 3 hours but less than 4 hours,5,Horror,13,Going to sleep,5,TV,2,2,10,Poor,2,9,Fair,3,11,Excellent,5,10,Excellent,5,2,18,Excellent,5,11,Bad,1,13,Good,4,12,Poor,2,15,Excellent,5,11,Bad,1,11,Poor,2,12,Fair,3,13,Fair,3,10,Excellent,5,13,Good,4,15,Good,4,11,Bad,1,11,Fair,3,12,Fair,3,12,Good,4,10,Bad,1,10,Fair,3,1 2 3 4 5 7 6 8 9 10 12 13 11 18 16 20 23 24 22 17 21 27 19 25 26 14 15 28 
A10O5YR01H865K,Yes,02.07.2018,08:24:15,02.07.2018,08:29:29,3,7,Male,2,25-34 years old,4,America,1,Service,7,53,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Horror,13,Relaxing,3,TV,2,2,10,Poor,2,13,Good,4,11,Excellent,5,11,Excellent,5,2,12,Excellent,5,11,Bad,1,12,Excellent,5,11,Good,4,11,Good,4,10,Bad,1,11,Fair,3,10,Good,4,12,Excellent,5,11,Good,4,11,Fair,3,10,Excellent,5,10,Bad,1,12,Fair,3,13,Good,4,12,Excellent,5,9,Poor,2,14,Good,4,1 2 3 4 7 5 8 6 9 11 13 12 10 16 19 18 26 17 24 15 14 22 20 23 21 27 25 28 
A13HZKB2NGZP6B,Yes,02.07.2018,08:41:44,02.07.2018,08:46:48,6,6,Female,1,18-24 years old,3,America,1,Arts and entertainment,1,12,Free streaming video services,1,Very often,2,During the week,1,Afternoon,2,more than 1 hour but less than 2 hours,3,Coemdy,6,Relaxing,3,Phone,4,4,15,Fair,3,12,Good,4,10,Good,4,12,Good,4,1,10,Good,4,10,Fair,3,14,Good,4,12,Fair,3,13,Good,4,15,Good,4,9,Fair,3,10,Good,4,10,Good,4,10,Good,4,14,Good,4,10,Good,4,11,Fair,3,12,Good,4,20,Good,4,17,Fair,3,15,Good,4,14,Good,4,1 2 3 4 7 8 5 6 9 12 11 13 10 17 16 27 24 26 18 15 20 22 23 21 25 19 14 28 
A15RSC70TW7ZKW,Yes,02.07.2018,08:16:47,02.07.2018,08:25:39,6,9,Male,2,25-34 years old,4,America,1,Unemployed,9,40,Free streaming video services,1,Extremely often,1,No difference,3,Afternoon,2,more than 2 hours but less than 3 hours,4,Science-Fiction,3,Relaxing,3,TV,2,12,13,Fair,3,37,Excellent,5,12,Excellent,5,13,Good,4,2,14,Excellent,5,12,Poor,2,12,Excellent,5,15,Fair,3,12,Good,4,37,Bad,1,13,Poor,2,19,Poor,2,17,Good,4,14,Poor,2,14,Good,4,10,Excellent,5,10,Poor,2,17,Good,4,33,Excellent,5,96,Good,4,11,Fair,3,32,Good,4,1 2 3 4 5 7 6 8 9 13 10 11 12 25 14 22 16 17 26 21 20 19 23 18 27 15 24 28 
A16SAB417Y96G4,No,02.07.2018,08:27:13,01.01.1970,01:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 2 3 4 7 5 8 6 9 10 13 11 12 20 19 24 26 27 15 16 23 21 18 17 25 14 22 28 
A16YCBEW9H2GVQ,Yes,02.07.2018,08:28:03,02.07.2018,08:39:21,15,21,Male,2,25-34 years old,4,America,1,Business,2,41,Free streaming video services,1,Very often,2,During the week,1,Morning,1,more than 30 minutes but less than an hour,2,Game shows,2,Studying,2,Laptop,3,10,18,Excellent,5,19,Good,4,23,Good,4,17,Good,4,6,16,Excellent,5,17,Good,4,18,Good,4,19,Excellent,5,18,Good,4,25,Good,4,23,Good,4,22,Excellent,5,24,Excellent,5,16,Good,4,23,Excellent,5,18,Good,4,30,Good,4,29,Excellent,5,30,Good,4,18,Excellent,5,29,Excellent,5,133,Good,4,1 2 3 4 6 5 7 8 9 10 11 13 12 25 16 24 20 15 26 22 23 27 17 14 18 19 21 28 
A1945USNZHTROX,Yes,02.07.2018,08:16:49,02.07.2018,08:24:23,6,12,Male,2,35-44 years old,5,America,1,Science and technology,5,36,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Coemdy,6,Relaxing,3,TV,2,45,10,Fair,3,10,Fair,3,11,Good,4,11,Good,4,4,98,Excellent,5,11,Poor,2,12,Good,4,12,Fair,3,15,Fair,3,10,Poor,2,12,Poor,2,21,Fair,3,11,Fair,3,12,Poor,2,11,Fair,3,10,Good,4,13,Poor,2,12,Fair,3,13,Good,4,12,Good,4,13,Poor,2,11,Fair,3,1 2 3 4 5 8 6 7 9 11 13 12 10 27 21 17 14 16 22 20 25 18 24 15 26 23 19 28 
A19GI6QJGCCOKV,Yes,02.07.2018,08:43:06,02.07.2018,08:51:24,4,13,Male,2,18-24 years old,3,America,1,Science and technology,5,37,Free streaming video services,1,Moderately often,3,On weekends,2,Afternoon,2,more than 2 hours but less than 3 hours,4,Drama,4,Relaxing,3,Laptop,3,5,61,Fair,3,12,Poor,2,14,Fair,3,21,Good,4,3,13,Poor,2,14,Poor,2,12,Good,4,25,Fair,3,59,Fair,3,30,Fair,3,13,Fair,3,12,Good,4,14,Poor,2,13,Poor,2,15,Poor,2,13,Fair,3,15,Poor,2,12,Poor,2,13,Fair,3,21,Fair,3,12,Poor,2,22,Fair,3,1 2 3 4 5 6 8 7 9 11 10 13 12 17 21 19 20 23 18 27 16 22 15 14 25 24 26 28 
