Worker ID,Finished,Begin,,End,,Step 1,Step 2,,,,,,,,,Step 3,,,,,,,,,,,,,,,,,Step 4,Step 5,,,Step 6,,,Step 7,,,Step 8,,,Step 9,Step 10,,,Step 11,,,Step 12,,,Step 13,,,Step 14,,,Step 15,,,Step 16,,,Step 17,,,Step 18,,,Step 19,,,Step 20,,,Step 21,,,Step 22,,,Step 23,,,Step 24,,,Step 25,,,Step 26,,,Step 27,,,Step Order
,,Date,Time,Date,Time,Duration,Duration,Results,,,,,,,,Duration,Results,,,,,,,,,,,,,,,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,
 
A0017268R9SKD8U2Y3F,Yes,02.07.2018,08:16:43,02.07.2018,08:23:27,5,13,Female,1,25-34 years old,4,America,1,Other field,10,52,Paid streaming video services,2,Extremely often,1,No difference,3,Afternoon,2,more than 3 hours but less than 4 hours,5,Horror,13,Going to sleep,5,TV,2,3,12,Poor,2,12,Fair,3,12,Good,4,12,Good,4,2,10,Good,4,12,Bad,1,10,Excellent,5,11,Bad,1,66,Excellent,5,11,Bad,1,12,Bad,1,10,Poor,2,14,Poor,2,15,Bad,1,11,Poor,2,18,Excellent,5,10,Bad,1,21,Poor,2,12,Excellent,5,12,Excellent,5,13,Bad,1,13,Poor,2,1 2 3 4 5 8 7 6 9 24 25 26 15 14 21 20 18 12 27 11 10 22 23 19 13 17 16 28 
A147F5PJTHOB8A,No,02.07.2018,08:23:59,02.07.2018,08:24:04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 2 3 4 8 7 6 5 9 10 27 20 26 15 11 17 22 25 18 13 19 14 21 23 24 16 12 28 
A16TP8YGKE1FJ5,Yes,02.07.2018,08:41:03,02.07.2018,08:48:18,8,14,Male,2,45-54 years old,6,America,1,Industrial and manufacturing,3,45,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Action/adventure,11,Surfing in the web,1,TV,2,8,16,Good,4,18,Good,4,22,Excellent,5,17,Excellent,5,3,15,Excellent,5,16,Fair,3,14,Excellent,5,18,Good,4,14,Excellent,5,15,Fair,3,15,Excellent,5,14,Excellent,5,15,Excellent,5,16,Excellent,5,23,Good,4,21,Excellent,5,14,Good,4,14,Good,4,15,Excellent,5,13,Excellent,5,12,Good,4,20,Excellent,5,1 2 3 4 7 5 8 6 9 13 23 18 21 17 12 19 10 16 24 11 22 27 26 14 20 25 15 28 
A183WYXN12P2TJ,Yes,02.07.2018,08:18:35,02.07.2018,08:24:25,4,8,Male,2,35-44 years old,5,America,1,Science and technology,5,46,Free streaming video services,1,Very often,2,During the week,1,Afternoon,2,more than 2 hours but less than 3 hours,4,News,7,Surfing in the web,1,Phone,4,4,9,Good,4,11,Excellent,5,13,Excellent,5,13,Good,4,2,10,Fair,3,11,Poor,2,10,Good,4,12,Good,4,12,Good,4,14,Good,4,10,Poor,2,9,Fair,3,10,Fair,3,12,Good,4,9,Good,4,34,Excellent,5,12,Good,4,10,Good,4,18,Good,4,19,Good,4,10,Excellent,5,18,Good,4,1 2 3 4 8 6 5 7 9 20 19 24 21 22 25 26 12 11 13 14 15 27 16 10 18 17 23 28 
A187VXD4ETY6M2,Yes,02.07.2018,08:16:25,02.07.2018,08:24:05,7,10,Female,1,25-34 years old,4,America,1,Service,7,36,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Science-Fiction,3,Surfing in the web,1,Tablet,1,24,25,Fair,3,20,Good,4,13,Good,4,17,Good,4,3,21,Good,4,11,Bad,1,18,Fair,3,11,Bad,1,48,Excellent,5,15,Bad,1,20,Bad,1,12,Fair,3,12,Fair,3,13,Poor,2,11,Good,4,34,Excellent,5,12,Bad,1,12,Fair,3,18,Good,4,15,Good,4,11,Poor,2,11,Bad,1,1 2 3 4 7 8 5 6 9 23 20 15 25 14 19 24 18 16 22 17 13 10 27 21 11 12 26 28 
A18SXC3JEN1O0U,Yes,02.07.2018,08:13:21,02.07.2018,08:20:29,6,20,Male,2,55-64 years old,7,America,1,Other field,10,51,Free streaming video services,1,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Coemdy,6,Relaxing,3,Laptop,3,19,15,Good,4,16,Good,4,13,Excellent,5,17,Excellent,5,3,16,Good,4,12,Bad,1,16,Excellent,5,16,Fair,3,15,Good,4,11,Bad,1,16,Poor,2,15,Good,4,13,Good,4,15,Excellent,5,14,Good,4,17,Excellent,5,12,Poor,2,16,Good,4,18,Excellent,5,13,Excellent,5,18,Fair,3,15,Good,4,1 2 3 4 8 5 6 7 9 25 19 11 16 22 15 14 20 21 23 27 26 10 12 13 17 24 18 28 
A18XFOKU5G1OL1,No,02.07.2018,08:36:03,02.07.2018,08:42:17,5,10,Male,2,25-34 years old,4,America,1,Service,7,174,Free streaming video services,1,Very often,2,During the week,1,Afternoon,2,more than 30 minutes but less than an hour,2,Documentary,14,Studying,2,TV,2,3,16,Good,4,24,Good,4,49,Good,4,12,Fair,3,5,,,,,,,16,Excellent,5,,,,25,Excellent,5,,,,,,,,,,,,,,,,,,,,,,19,Good,4,,,,,,,16,Excellent,5,,,,,,,1 2 3 4 7 8 5 6 9 12 25 14 22 26 18 16 11 10 19 21 15 13 20 24 23 17 27 28 
A19TL7AJ0FB1JG,Yes,02.07.2018,08:13:29,02.07.2018,08:22:41,5,12,Female,1,25-34 years old,4,America,1,Service,7,44,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Documentary,14,Relaxing,3,TV,2,4,18,Good,4,14,Good,4,15,Excellent,5,19,Excellent,5,3,120,Bad,1,11,Bad,1,76,Bad,1,11,Good,4,10,Excellent,5,12,Bad,1,12,Good,4,17,Fair,3,11,Excellent,5,12,Good,4,16,Fair,3,11,Good,4,14,Fair,3,13,Good,4,19,Poor,2,31,Poor,2,11,Fair,3,11,Excellent,5,1 2 3 4 8 6 5 7 9 20 23 15 12 21 22 11 10 17 24 25 16 13 27 18 26 19 14 28 
