Worker ID,Finished,Begin,,End,,Step 1,Step 2,,,,,,,,,Step 3,,,,,,,,,,,,,,,,,Step 4,Step 5,,,Step 6,,,Step 7,,,Step 8,,,Step 9,Step 10,,,Step 11,,,Step 12,,,Step 13,,,Step 14,,,Step 15,,,Step 16,,,Step 17,,,Step 18,,,Step 19,,,Step 20,,,Step 21,,,Step 22,,,Step 23,,,Step 24,,,Step 25,,,Step 26,,,Step 27,,,Step Order
,,Date,Time,Date,Time,Duration,Duration,Results,,,,,,,,Duration,Results,,,,,,,,,,,,,,,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,,Duration,Results,
 
A0017268R9SKD8U2Y3F,Yes,02.07.2018,08:23:38,02.07.2018,08:28:46,5,8,Female,1,25-34 years old,4,America,1,Other field,10,14,Paid streaming video services,2,Extremely often,1,No difference,3,Afternoon,2,more than 3 hours but less than 4 hours,5,Horror,13,Going to sleep,5,TV,2,2,10,Bad,1,11,Fair,3,11,Excellent,5,10,Excellent,5,2,13,Excellent,5,12,Bad,1,18,Excellent,5,11,Poor,2,12,Excellent,5,33,Bad,1,11,Poor,2,10,Fair,3,12,Good,4,12,Good,4,12,Good,4,10,Excellent,5,11,Fair,3,11,Fair,3,13,Excellent,5,12,Excellent,5,10,Fair,3,12,Excellent,5,1 2 3 4 6 8 7 5 9 27 20 17 10 16 15 24 14 11 12 21 13 26 22 25 23 19 18 28 
A10O5YR01H865K,Yes,02.07.2018,08:16:43,02.07.2018,08:24:00,6,13,Male,2,25-34 years old,4,America,1,Service,7,127,Paid streaming video services,2,Very often,2,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Horror,13,Relaxing,3,TV,2,8,10,Good,4,11,Good,4,13,Good,4,29,Excellent,5,4,20,Excellent,5,13,Bad,1,12,Excellent,5,11,Poor,2,10,Excellent,5,12,Bad,1,10,Poor,2,11,Fair,3,14,Good,4,12,Fair,3,12,Good,4,10,Excellent,5,10,Poor,2,13,Good,4,12,Excellent,5,11,Good,4,12,Fair,3,11,Good,4,1 2 3 4 8 7 6 5 9 26 22 23 15 19 11 10 27 20 18 14 17 16 12 13 21 24 25 28 
A11W7R2O4RQSSS,Yes,02.07.2018,08:39:18,02.07.2018,08:45:45,6,8,Male,2,25-34 years old,4,America,1,Business,2,17,Paid streaming video services,2,Very often,2,During the week,1,Afternoon,2,more than 2 hours but less than 3 hours,4,Coemdy,6,Studying,2,TV,2,4,12,Good,4,17,Excellent,5,13,Excellent,5,15,Excellent,5,3,11,Excellent,5,11,Fair,3,12,Good,4,10,Poor,2,72,Excellent,5,11,Fair,3,13,Excellent,5,13,Excellent,5,12,Excellent,5,14,Good,4,11,Good,4,27,Good,4,11,Fair,3,12,Excellent,5,13,Excellent,5,14,Excellent,5,14,Fair,3,11,Excellent,5,1 2 3 4 7 6 5 8 9 16 25 19 24 21 17 26 14 11 23 20 22 27 12 13 15 18 10 28 
A1271NY1SBPYQF,Yes,02.07.2018,08:13:53,02.07.2018,08:21:35,17,23,Male,2,35-44 years old,5,America,1,Other field,10,47,Paid streaming video services,2,Moderately often,3,On weekends,2,Afternoon,2,more than 2 hours but less than 3 hours,4,Sports,1,Relaxing,3,TV,2,15,15,Good,4,16,Good,4,25,Good,4,17,Good,4,4,19,Good,4,16,Fair,3,17,Good,4,12,Fair,3,19,Good,4,15,Fair,3,13,Good,4,13,Good,4,16,Good,4,16,Good,4,14,Excellent,5,20,Excellent,5,12,Fair,3,15,Good,4,15,Good,4,21,Excellent,5,14,Fair,3,16,Good,4,1 2 3 4 7 5 8 6 9 11 25 21 18 12 24 15 10 26 14 23 27 19 17 16 22 13 20 28 
A13HZKB2NGZP6B,Yes,02.07.2018,08:20:51,02.07.2018,08:29:30,6,36,Female,1,18-24 years old,3,America,1,Arts and entertainment,1,26,Free streaming video services,1,Extremely often,1,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Coemdy,6,Relaxing,3,Phone,4,13,11,Fair,3,16,Good,4,13,Good,4,13,Fair,3,2,90,Fair,3,16,Good,4,92,Good,4,17,Fair,3,11,Good,4,10,Poor,2,14,Fair,3,13,Good,4,13,Good,4,10,Good,4,16,Good,4,11,Excellent,5,11,Fair,3,14,Excellent,5,10,Excellent,5,13,Excellent,5,11,Fair,3,11,Excellent,5,1 2 3 4 5 8 6 7 9 25 18 23 12 11 22 20 17 10 24 26 13 15 21 16 19 27 14 28 
A13WFFPE9L1QAB,Yes,02.07.2018,08:15:30,02.07.2018,08:29:18,16,41,Male,2,25-34 years old,4,America,1,Unemployed,9,142,Free streaming video services,1,Slightly often,4,During the week,1,Morning,1,30 minutes or less,1,Sports,1,Surfing in the web,1,Laptop,3,35,19,Fair,3,17,Good,4,19,Excellent,5,21,Good,4,3,21,Excellent,5,59,Bad,1,27,Excellent,5,23,Fair,3,19,Good,4,31,Poor,2,35,Poor,2,59,Excellent,5,16,Excellent,5,18,Good,4,45,Fair,3,24,Excellent,5,28,Poor,2,15,Excellent,5,21,Good,4,30,Excellent,5,22,Fair,3,22,Excellent,5,1 2 3 4 8 6 7 5 9 24 15 19 18 27 26 13 20 16 17 22 23 10 21 14 11 12 25 28 
A147F5PJTHOB8A,Yes,02.07.2018,08:14:45,02.07.2018,08:23:17,8,66,Male,2,35-44 years old,5,America,1,Science and technology,5,166,Paid streaming video services,2,Extremely often,1,No difference,3,Afternoon,2,more than 1 hour but less than 2 hours,3,Documentary,14,Surfing in the web,1,TV,2,4,11,Good,4,10,Excellent,5,16,Excellent,5,11,Excellent,5,3,15,Excellent,5,11,Bad,1,19,Excellent,5,10,Poor,2,11,Excellent,5,11,Bad,1,11,Fair,3,10,Good,4,11,Good,4,14,Excellent,5,12,Good,4,11,Excellent,5,11,Poor,2,11,Good,4,11,Excellent,5,13,Excellent,5,12,Good,4,13,Good,4,1 2 3 4 7 5 6 8 9 20 16 19 12 25 10 26 27 13 18 22 24 11 23 15 21 14 17 28 
A15QGLWS8CNJFU,No,02.07.2018,08:23:33,02.07.2018,08:33:31,5,29,Male,2,25-34 years old,4,America,1,Science and technology,5,46,Paid streaming video services,2,Very often,2,On weekends,2,Afternoon,2,more than 1 hour but less than 2 hours,3,News,7,Relaxing,3,TV,2,8,24,Fair,3,16,Good,4,15,Excellent,5,16,Excellent,5,3,50,Excellent,5,15,Good,4,75,Good,4,31,Excellent,5,84,Good,4,15,Poor,2,,,,,,,,,,91,Excellent,5,24,Fair,3,,,,19,Good,4,,,,,,,,,,,,,32,Good,4,1 2 3 4 5 6 7 8 9 15 20 14 13 19 10 11 27 12 22 17 23 25 18 24 21 26 16 28 
