step,video,reference ,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,food_market_30fps_scaled_0RP_P1_black.mp4,4.28,
11,food_market_30fps_scaled_1RP_P1_black.mp4,3.01,
12,people_30fps_scaled_0RP_black.mp4,4.16,
13,people_30fps_scaled_1RP_black.mp4,2.32,
14,food_market_30fps_scaled_0RP_P1_black.mp4,4.41,-0.13
15,food_market_30fps_scaled_1RP_P1_black.mp4,2.76,1.51
16,food_market_30fps_scaled_2RP_P1_black.mp4,3.8,0.47
17,food_market_30fps_scaled_3RP_P1_black.mp4,4.33,-0.05
18,food_market_30fps_scaled_4RP_P1_black.mp4,4.22,0.05
19,food_market_30fps_scaled_3RP_P1_black.mp4,4.16,0.12
20,food_market_30fps_scaled_4RP_P1_black.mp4,4.37,-0.09
21,people_30fps_scaled_0RP_black.mp4,4.07,0.09
22,people_30fps_scaled_1RP_black.mp4,2.55,1.61
23,people_30fps_scaled_2RP_black.mp4,3.54,0.62
24,people_30fps_scaled_3RP_black.mp4,3.89,0.26
25,people_30fps_scaled_4RP_black.mp4,4.05,0.11
26,people_30fps_scaled_1RP_black.mp4,2.3,1.86
27,people_30fps_scaled_2RP_black.mp4,3.38,0.78
