step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,cow_30fps_scaled_0RP_black.mp4,4.04,
11,cow_30fps_scaled_1RP_black.mp4,3.03,
12,food_market_30fps_scaled_0RP_P1_black.mp4,4.38,
13,food_market_30fps_scaled_1RP_P1_black.mp4,2.99,
14,cow_30fps_scaled_0RP_black.mp4,3.95,0.09
15,cow_30fps_scaled_1RP_black.mp4,2.92,1.12
16,cow_30fps_scaled_2RP_black.mp4,3.53,0.51
17,cow_30fps_scaled_3RP_black.mp4,3.91,0.13
18,cow_30fps_scaled_4RP_black.mp4,3.92,0.12
19,cow_30fps_scaled_3RP_black.mp4,3.78,0.26
20,cow_30fps_scaled_4RP_black.mp4,4.04,0
21,food_market_30fps_scaled_0RP_P1_black.mp4,4.27,0.12
22,food_market_30fps_scaled_1RP_P1_black.mp4,3.09,1.29
23,food_market_30fps_scaled_2RP_P1_black.mp4,3.78,0.6
24,food_market_30fps_scaled_3RP_P1_black.mp4,4.21,0.18
25,food_market_30fps_scaled_4RP_P1_black.mp4,4.27,0.12
26,food_market_30fps_scaled_1RP_P1_black.mp4,3.12,1.27
27,food_market_30fps_scaled_2RP_P1_black.mp4,3.74,0.64
