step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,FoxBird_25fps_scaled_0RP.mp4,4.45,
11,FoxBird_25fps_scaled_1RP.mp4,3.29,
12,Seeking_25fps_scaled_0RP.mp4,4.09,
13,Seeking_25fps_scaled_1RP.mp4,2.35,
14,FoxBird_25fps_scaled_0RP.mp4,4.67,-0.21
15,FoxBird_25fps_scaled_1RP.mp4,3.11,1.35
16,FoxBird_25fps_scaled_2RP.mp4,4.08,0.37
17,FoxBird_25fps_scaled_3RP.mp4,4.39,0.07
18,FoxBird_25fps_scaled_4RP.mp4,4.44,0.01
19,FoxBird_25fps_scaled_3RP.mp4,4.47,-0.01
20,FoxBird_25fps_scaled_4RP.mp4,4.63,-0.17
21,Seeking_25fps_scaled_0RP.mp4,4.23,-0.13
22,Seeking_25fps_scaled_1RP.mp4,2.32,1.77
23,Seeking_25fps_scaled_2RP.mp4,3.17,0.92
24,Seeking_25fps_scaled_3RP.mp4,3.8,0.29
25,Seeking_25fps_scaled_4RP.mp4,3.81,0.28
26,Seeking_25fps_scaled_1RP.mp4,2.33,1.76
27,Seeking_25fps_scaled_2RP.mp4,3.16,0.93
