step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,ElFuente1_30fps_scaled_0RP.mp4,4.12,
11,ElFuente1_30fps_scaled_1RP.mp4,2.32,
12,FoxBird_25fps_scaled_0RP.mp4,4.39,
13,FoxBird_25fps_scaled_1RP.mp4,3.31,
14,ElFuente1_30fps_scaled_0RP.mp4,4.1,0.01
15,ElFuente1_30fps_scaled_1RP.mp4,2.45,1.66
16,ElFuente1_30fps_scaled_2RP.mp4,3.25,0.87
17,ElFuente1_30fps_scaled_3RP.mp4,3.86,0.26
18,ElFuente1_30fps_scaled_4RP.mp4,4.06,0.05
19,ElFuente1_30fps_scaled_3RP.mp4,3.94,0.18
20,ElFuente1_30fps_scaled_4RP.mp4,4.03,0.09
21,FoxBird_25fps_scaled_0RP.mp4,4.42,-0.03
22,FoxBird_25fps_scaled_1RP.mp4,3.27,1.12
23,FoxBird_25fps_scaled_2RP.mp4,4.17,0.22
24,FoxBird_25fps_scaled_3RP.mp4,4.32,0.06
25,FoxBird_25fps_scaled_4RP.mp4,4.55,-0.16
26,FoxBird_25fps_scaled_1RP.mp4,3.18,1.21
27,FoxBird_25fps_scaled_2RP.mp4,4.21,0.18
